"@timestamp",message,"kubernetes.pod_name"
"Jan 1, 2025 @ 01:08:15.224","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-28b37136f2b0)(ap)(thirdparty-nats-0)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.224","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-c0c70a2ff790)(ap)(thirdparty-nats-0)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.223","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-3c46a13888a0)(ap)(thirdparty-nats-2)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.223","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-dcaeeb00d810)(ap)(thirdparty-nats-1)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.222","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-c8848c017430)(ap)(thirdparty-nats-4)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.222","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-2cab46325030)(ap)(thirdparty-nats-4)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.222","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-5cdf892c58f0)(ap)(thirdparty-nats-0)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.221","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-341593026820)(ap)(thirdparty-nats-3)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.221","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-8c7a151eb200)(ap)(thirdparty-nats-0)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.220","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-003358360090)(ap)(thirdparty-nats-2)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.220","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-c8848c014ee0)(ap)(thirdparty-nats-0)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.219","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-d4bd4f05d7d0)(ap)(thirdparty-nats-0)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
"Jan 1, 2025 @ 01:08:15.218","time=""2025-01-01T01:08:11Z"" level=info msg=""app_conn(device-ap-3420e32314d0)(ap)(thirdparty-nats-0)"" @service=benthos label="""" path=root.pipeline.processors.0.workflow.processors.1 stream=sys_evts_acct_conn_disconn","thirdparty-benthos-fbfb4884d-wf775"
